gene,male_acrophase_hour,female_acrophase_hour,circular_distance_hour,average_acrophase_hour,average_acrophase_rad,male_bf_log10,female_bf_log10
Scd2,21.98,20.03,1.95,21.0,5.4984,330.8,55.45
Scube3,0.5,22.83,1.67,23.67,6.1961,3.43,77.6
Sec14l1,0.42,21.98,2.44,23.2,6.0742,21.46,3.71
Sel1l3,16.04,17.83,1.79,16.94,4.4339,8.66,40.38
Serpini1,15.17,15.79,0.62,15.48,4.0536,518.21,85.61
Sertad4,21.28,20.62,0.66,20.95,5.4843,3.99,12.32
Sfpq,19.46,19.04,0.43,19.25,5.0399,7.1,76.41
Slc16a1,13.21,14.44,1.23,13.83,3.6197,9.42,4.06
Slc22a4,3.22,4.22,1.0,3.72,0.9748,8.2,10.55
Slc24a4,15.18,15.46,0.28,15.32,4.0095,12.05,10.75
Slc25a33,11.69,10.25,1.44,10.97,2.8719,253.03,172.22
Slc25a34,0.93,1.82,0.88,1.37,0.3594,357.24,148.42
Slc46a3,15.41,14.37,1.04,14.89,3.8993,56.43,35.55
Slc4a8,15.5,12.84,2.67,14.17,3.7093,15.35,3.99
Slc50a1,11.11,9.23,1.87,10.17,2.6624,3.31,18.54
Slc6a6,11.51,10.9,0.61,11.2,2.9332,108.37,36.61
Smc2,16.37,16.31,0.06,16.34,4.278,11.66,7.96
Smim3,10.56,8.93,1.62,9.75,2.5516,107.94,75.97
Smim5,9.17,8.65,0.52,8.91,2.3322,562.97,720.11
Sncaip,22.48,22.9,0.42,22.69,5.9407,7.74,33.51
Snorc,8.74,7.61,1.12,8.18,2.1406,6.14,16.99
Sost,23.88,23.97,0.09,23.93,6.2642,32.64,227.67
Spata24,8.36,7.15,1.2,7.75,2.0301,16.25,8.4
Sphk1,8.32,7.57,0.75,7.94,2.0797,11.74,40.7
Spry1,0.14,23.13,1.01,23.64,6.1876,42.33,59.36
Spsb1,9.72,11.31,1.59,10.52,2.753,40.31,40.7
Sqle,19.89,17.41,2.48,18.65,4.8835,120.16,107.96
St3gal5,0.46,1.09,0.63,0.78,0.2042,292.0,69.55
Stac,0.13,23.45,0.69,23.79,6.2285,2.64,4.34
Stard3,10.37,8.53,1.84,9.45,2.4734,48.93,76.55
Stbd1,12.02,12.67,0.65,12.35,3.2324,127.79,640.25
Stc2,12.28,9.4,2.89,10.84,2.8384,63.47,3.91
Steap3,14.12,12.86,1.26,13.49,3.5309,53.53,39.07
Stil,22.65,22.22,0.44,22.43,5.8732,26.95,14.25
Stip1,19.29,18.38,0.91,18.83,4.9302,12.11,285.93
Stk26,16.27,16.98,0.72,16.63,4.3527,72.79,70.82
Stox2,22.8,21.09,1.71,21.95,5.7456,23.77,28.24
Sulf1,16.51,17.57,1.06,17.04,4.4616,70.12,208.31
Sv2a,10.58,9.3,1.28,9.94,2.6031,15.06,2.11
Sytl5,23.34,0.76,1.42,0.05,0.0141,46.45,107.81
Tagln2,3.26,3.67,0.41,3.46,0.9066,209.56,93.79
Tcap,9.85,9.14,0.71,9.49,2.4854,16722.68,15475.74
Tead1,21.84,20.56,1.28,21.2,5.5503,25.27,77.41
Tef,12.47,11.91,0.56,12.19,3.1917,2422.3,1519.71
Tent5a,20.33,17.48,2.85,18.91,4.9494,184.76,555.34
Tent5b,12.71,12.63,0.08,12.67,3.3161,35.13,6.87
Tgfb2,19.0,18.63,0.37,18.81,4.9255,63.75,672.41
Thra,3.12,3.24,0.11,3.18,0.8326,1124.51,697.27
Tle6,18.61,15.74,2.87,17.18,4.4965,15.77,12.7
Tlr2,12.74,10.27,2.47,11.5,3.0112,2.72,4.7
Tm4sf1,0.87,2.71,1.84,1.79,0.4688,298.54,917.73
Tmem108,23.17,22.12,1.05,22.64,5.9277,44.21,25.97
Tmem136,0.65,0.22,0.43,0.43,0.1137,17.29,4.65
Tmem200b,17.08,15.95,1.13,16.51,4.3229,31.48,35.48
Tmem229b,15.33,16.02,0.69,15.68,4.1048,217.5,57.28
Tmem82,0.76,1.99,1.23,1.38,0.3603,169.37,81.21
Tmem86a,8.62,8.01,0.61,8.31,2.1767,169.18,367.02
Tnfrsf21,11.6,11.73,0.13,11.67,3.0541,143.22,62.26
Tnni3,8.63,9.01,0.38,8.82,2.3095,22.5,42.03
Tob2,10.49,11.95,1.46,11.22,2.9376,291.26,94.88
Tppp3,8.57,11.16,2.58,9.87,2.583,447.22,9.57
Trib2,15.84,16.76,0.91,16.3,4.267,25.04,35.59
Trim58,13.0,12.49,0.5,12.75,3.3372,6.72,2.72
Trp53bp1,0.76,23.01,1.75,23.89,6.2538,29.13,35.98
Trp53inp1,11.16,10.52,0.63,10.84,2.8375,327.82,281.28
Tsc22d3,13.48,11.68,1.8,12.58,3.2939,634.73,206.26
Tspan15,11.79,9.57,2.22,10.68,2.7963,21.92,8.55
Tspan4,13.37,12.91,0.46,13.14,3.4398,2262.48,1092.69
Tspan9,1.36,1.46,0.11,1.41,0.3696,230.57,91.25
