gene,wt_cross_sex_ll,ko_cross_sex_ll,is_wt_cycler
Bmpr1a,-268.5158256743346,-263.8954784206886,False
Bmpr2,-312.4239134070146,-285.17295949178134,False
Bmt2,-258.71062202539264,-258.37924333317574,False
Bmyc,-281.6171163926735,-255.33025220117952,False
Bnip2,-240.28199109459212,-256.7665488843246,False
Bnip3,-261.7281505485361,-278.3921232677432,False
Bnip3l,-269.40108941146894,-252.5575409431454,False
Bod1,-250.37768532702643,-246.42060887743162,False
Bod1l,-242.13395825159157,-256.6497887811338,False
Bola1,-251.40881993118907,-267.09614438365656,False
Bola2,-285.24645862044827,-238.96460048112903,False
Bola3,-264.8773866585916,-252.98562020417378,False
Borcs7,-249.96776416102404,-292.74452220027956,False
Borcs8,-259.99916173594244,-235.39248882111875,False
Bptf,-300.63017010873597,-264.9280198679362,False
Braf,-260.68289607319235,-264.9763332409541,False
Brcc3,-271.2547064827425,-262.86736684595735,False
Brd1,-323.84710299840765,-283.3202863427697,True
Brd2,-277.9499476237286,-288.5839359562257,False
Brd3,-291.20206841458435,-260.2031797278753,False
Brd4,-263.6981084851118,-249.84289015128016,False
Brd7,-272.5989843771056,-255.5391949124333,False
Brd8,-254.5740493949786,-262.90533976909035,False
Brd9,-289.0459818290267,-249.15749374165998,False
Bri3,-257.745565577148,-257.0038122642782,False
Brix1,-274.1346870003749,-264.23919221220496,False
Brk1,-274.298871319723,-254.77342866466427,False
Brwd1,-266.0528803372696,-298.4842965877191,False
Bscl2,-248.16501278213383,-275.26064373385736,False
Bsg,-254.6484383779511,-259.9030109339544,False
Bst2,-409.0061607979487,-368.982515647886,True
Btbd7,-267.37482121902167,-263.2212922624416,False
Btf3,-318.3403803036922,-261.4447286791043,False
Btg1,-341.2988302210678,-263.65383547246074,True
Btg2,-350.7160770302947,-295.387966329718,True
Btg3,-257.39852412475494,-251.43414114511916,False
Bub3,-273.03278959006116,-242.1873846855021,False
Bud23,-267.96715057510335,-261.17474585764325,False
Bud31,-260.36878769940733,-253.62855138891427,False
Bzw1,-260.436525148753,-248.50617707722205,False
C1d,-293.58042421047344,-252.88326373928413,False
C1galt1,-325.5615653549409,-271.7940301616983,False
C1qbp,-274.06348174473794,-243.91957910226597,False
C1qtnf12,-263.2329925251241,-262.1454863302432,False
C1qtnf2,-275.0252307902849,-261.7222185029978,False
C2cd2,-263.6166289758579,-267.6509146945325,False
C330007P06Rik,-260.35792421390244,-260.89915722875827,False
Cab39,-257.91625395949904,-273.0978938422838,False
Cab39l,-249.29907469999634,-265.3587471885653,False
Cabin1,-264.2969597822085,-274.78629552834315,False
Cacna2d1,-252.9113735895584,-280.93667360567036,False
Cacnb2,-294.3597566252787,-268.19012811049,True
Cacybp,-311.01464760101277,-266.0827811151329,True
Calcoco1,-288.62138157956264,-272.888481350544,False
Calcrl,-381.49223408992555,-260.19444606797674,False
Cald1,-257.6595072786683,-246.7267585846243,False
Calhm5,-279.56784293167016,-282.5815616222466,False
Calm1,-261.1612941335997,-270.6747680551037,False
Calm2,-267.1542037982589,-263.64156908420927,False
Calm3,-247.90117092840345,-264.23378667553874,False
Calr,-268.11775710178506,-258.2359701575889,True
Calu,-256.0578032440186,-256.3892776751311,False
Camk1,-245.73590239467444,-254.15834566786745,False
Camk2d,-277.0513276752458,-283.20227690420603,False
