gene,male_wt_bf,female_wt_bf,male_ko_bf,female_ko_bf,male_wt_frac_detected,female_wt_frac_detected,male_ko_frac_detected,female_ko_frac_detected
Cacybp,-32.811287,91.85752,-6.509328,-35.217297,0.5904761904761905,0.5546583850931677,0.5140786749482401,0.5562111801242235
Cad,-17.248785,-3.67369,-7.8978825,-7.8021383,0.0901656314699793,0.0841614906832298,0.0784679089026915,0.0729813664596273
Cadm1,-1.5108327,-3.2163212,-3.949763,-5.333414,0.0042443064182194,0.0043478260869565,0.0075569358178053,0.0065217391304347
Cadm2,-0.38164118,-1.278785,-0.18173027,-0.4045103,0.0008281573498964,0.0012422360248447,0.0002070393374741,0.0008281573498964
Cadm3,-0.27046984,0.40150833,0.118515484,0.4823786,0.0010351966873706,0.0002070393374741,0.0003105590062111,0.0010351966873706
Cadm4,-0.84723735,-0.46064267,5.0649886,-0.0450888,0.0048654244306418,0.0040372670807453,0.0031055900621118,0.0027950310559006
Cage1,-3.2394223,-4.1951537,0.19493417,-4.753913,0.0081780538302277,0.0050724637681159,0.0072463768115942,0.00703933747412
Calcoco1,-33.095867,-5.332831,-15.945054,-26.745584,0.3884057971014493,0.3437888198757764,0.3416149068322981,0.3592132505175983
Calcrl,-10.300498,-17.849758,-29.911184,-21.810999,0.1864389233954451,0.2322981366459627,0.2703933747412008,0.2783643892339544
Cald1,-216.29901,-160.40564,-430.7302,-320.718,0.9957556935817804,0.99472049689441,0.989648033126294,0.9900621118012424
Calhm2,-16.301523,-16.149902,-15.512032,-12.439737,0.0952380952380952,0.086335403726708,0.0901656314699793,0.0892339544513457
Calhm5,-45.48556,-28.49591,-28.741049,-48.543434,0.3821946169772257,0.3432712215320911,0.3502070393374741,0.3652173913043478
Calhm6,2.491438,1.3087747,1.8198341,0.7713671,0.0013457556935817,0.0008281573498964,0.0022774327122153,0.0016563146997929
Calm1,-102.51131,-191.8623,-145.7058,-146.72198,0.9881987577639753,0.9891304347826086,0.9886128364389234,0.9849896480331264
Calm2,-157.15778,-111.77908,-131.07974,-49.45274,0.9665631469979296,0.9572463768115942,0.9505175983436852,0.946376811594203
Calm3,-49.402695,-49.329746,-128.71657,-102.13894,0.6547619047619048,0.641407867494824,0.715631469979296,0.7093167701863354
Calml4,-4.761653,0.09685742,-4.892705,-5.3330426,0.0300207039337474,0.0234989648033126,0.019047619047619,0.0214285714285714
Calr,64.62505,-133.6431,-134.46674,-144.35541,0.8985507246376812,0.8872670807453417,0.8902691511387164,0.891407867494824
Calr3,0.6096133,-1.4648691,-1.7051041,-1.2978603,0.0023809523809523,0.0024844720496894,0.0030020703933747,0.0031055900621118
Calu,-142.91087,-39.397804,-79.42754,-79.24262,0.7788819875776397,0.7652173913043478,0.7784679089026915,0.7870600414078675
Camk1,-40.08572,-26.894024,-113.94123,-20.751133,0.6313664596273292,0.6370600414078675,0.6458592132505176,0.667184265010352
Camk1d,-3.9343624,0.6516008,-1.213554,0.9693695,0.0268115942028985,0.0221532091097308,0.0174948240165631,0.0136645962732919
Camk2b,41.994556,229.76277,-23.920973,-9.424699,0.0681159420289855,0.0939958592132505,0.1873706004140787,0.2194616977225673
Camk2d,-31.06817,-30.231815,-89.627525,-120.15622,0.6593167701863354,0.6577639751552795,0.696376811594203,0.6962732919254658
Camk2g,-29.231327,-14.199393,-46.926704,-38.660267,0.560455486542443,0.5280538302277433,0.5887163561076605,0.5790890269151139
Camk2n1,-96.41083,-33.569607,-96.15466,-61.819103,0.5825051759834369,0.5875776397515527,0.6359213250517598,0.6374741200828158
Camk2n2,-3.2018085,-6.367037,-4.2570615,11.526829,0.024223602484472,0.0239130434782608,0.0189440993788819,0.0231884057971014
Camk4,-0.99334854,-0.9315337,0.029297117,0.86311686,0.0009316770186335,0.0009316770186335,0.0013457556935817,0.0004140786749482
