ZT,sample,log10_prop
6,57,-4.773346437732851
6,58,-4.764227015537315
6,59,-4.777247889966172
6,60,-4.864000373329238
6,61,-4.657244236788725
6,62,-4.8922574035470605
6,63,-4.9164702879970745
6,64,-4.8770703768916785
6,65,-4.840411147243765
6,66,-4.8765717541837645
6,67,-4.928497895620557
6,68,-4.911174444558334
6,69,-4.808669703634483
6,70,-4.8262582016785265
6,71,-4.831438576007124
6,72,-4.865502902272728
6,73,-4.941251264375739
6,74,-4.655394138224111
6,75,-5.051638481975314
6,76,-4.765198154116007
6,77,-4.936190248360764
6,78,-4.886533837132766
6,79,-4.872787693310581
6,80,-4.929220259287151
6,81,-4.688400690550799
6,82,-4.771531833737904
6,83,-4.855952002008627
6,84,-4.776824816153397
6,85,-4.826937337071985
6,86,-4.9072024949240465
6,87,-4.918887182089182
6,88,-4.6960041280528815
6,89,-4.715863742113856
6,90,-4.980828693032969
6,91,-4.932665378312441
6,92,-4.869498634162763
6,93,-4.877355495739721
6,94,-4.912314517619112
6,95,-4.854300386931831
6,96,-4.805135982295487
6,97,-4.896123003582806
6,98,-4.939774305827528
6,99,-4.91565078365052
6,100,-4.664963992767229
6,101,-4.843792653205279
6,102,-4.767844690027241
6,103,-5.003966100962722
6,104,-4.668202581676814
6,105,-4.751334350712754
6,106,-4.872340077282757
6,107,-4.892981465946207
6,108,-4.638253658539284
6,109,-4.95908142947725
6,110,-4.785570427780205
6,111,-4.766411764414952
6,112,-4.811892914544112
6,113,-4.973425571861724
6,114,-4.6544729781452805
6,115,-4.922870665223438
6,116,-4.691819076890117
6,117,-4.9184583862299105
6,118,-4.791367307915224
6,119,-4.905375820987272
6,120,-4.660637499767649
6,121,-4.990601724930171
6,122,-4.740818302137387
6,123,-4.902956557610288
6,124,-4.810331600513576
6,125,-4.818436968781702
6,126,-4.818329769816884
6,127,-4.958978119715909
6,128,-4.861486249150192
6,129,-5.0783970959705655
6,130,-4.926274031190704
6,131,-4.767770035201867
6,132,-4.8736461790988885
6,133,-4.949571343497919
6,134,-4.841812020454981
6,135,-5.128391554976692
6,136,-4.896630075249999
6,137,-4.765740765056355
6,138,-4.591588491820398
6,139,-4.842477029546152
6,140,-4.6984757839180915
6,141,-4.962414208636574
6,142,-4.701605028095424
6,143,-4.852831251494062
6,144,-4.821138221762553
6,145,-4.803138093998725
6,146,-4.865397312633487
6,147,-4.798739986010972
6,148,-4.763156098772856
6,149,-4.891489755246872
6,150,-4.94482495063323
6,151,-5.087852286066328
6,152,-4.997530542091108
6,153,-4.926189362783963
6,154,-4.926490798405216
6,155,-4.837524240676223
6,156,-4.895215388660916
6,157,-4.84000671478559
6,158,-5.000081546647958
6,159,-4.941769914246389
6,160,-4.870518410136667
6,161,-4.997727550363816
6,162,-4.9731019633103
6,163,-4.705726957932782
6,164,-4.789484218176283
6,165,-4.918880923600827
6,166,-4.83165118579723
6,167,-4.607415314799581
6,168,-4.783107802019621
6,169,-4.760157388781207
6,170,-4.680404756421903
6,171,-4.958944547396236
6,172,-4.839959820826417
6,173,-4.865193107099172
6,174,-4.7693594230230225
6,175,-4.8328570176892205
6,176,-5.045192283673498
6,177,-4.962329182601927
6,178,-4.775760247284269
6,179,-4.86988035724891
6,180,-4.690195714417894
6,181,-4.7694945169645075
6,182,-4.899651092282284
6,183,-4.8895745684033685
6,184,-4.593026424223371
6,185,-4.901384872370479
6,186,-4.8004658982852355
6,187,-4.768299324502719
6,188,-4.883667047134936
6,189,-4.687713597936434
6,190,-4.777875616348145
6,191,-4.665755423323164
6,192,-4.8481948292104615
6,193,-4.829914857610204
6,194,-4.8739186468597575
6,195,-4.9449529367200835
6,196,-4.720685460356243
6,197,-5.002854056989075
6,198,-4.982758184992711
6,199,-4.937450260880511
6,200,-4.723547824708738
6,201,-4.956711697565245
6,202,-4.722093352015112
6,203,-4.9894857023460695
6,204,-4.7412979705662845
6,205,-4.810331064071717
6,206,-4.808074342578002
6,207,-4.777270241710296
6,208,-4.84012455318061
6,209,-4.642702192061781
6,210,-4.640179216592062
6,211,-4.921788527883427
6,212,-4.7084769377158215
6,213,-4.68999428049985
6,214,-4.781253769548039
6,215,-4.926223739766425
6,216,-4.8633050999765235
6,217,-4.8877748953734965
6,218,-4.8161664786136065
6,219,-4.971346949065186
6,220,-4.879959026895262
6,221,-4.762252015426537
6,222,-4.678442094473881
6,223,-4.942381636779569
6,224,-4.890862610010247
6,225,-4.669695052335448
6,226,-4.8934903257529285
6,227,-4.959191489465315
6,228,-4.760972065151031
6,229,-4.774717761938334
6,230,-4.8738128337030755
6,231,-4.728674867775855
6,232,-4.809955554770438
6,233,-4.659705610851639
6,234,-4.824208814963304
6,235,-4.853129557871139
6,236,-4.736443708184453
6,237,-4.8175495151330106
6,238,-4.914778216263414
6,239,-4.841514742258134
6,240,-4.718924947582076
6,241,-4.8045330216460025
6,242,-4.718405671862591
6,243,-4.625521479237531
6,244,-4.751728724886074
6,245,-4.631751089138788
6,246,-4.918045638922921
6,247,-4.888360153441634
6,248,-4.85656671967552
6,249,-4.948334889716478
6,250,-4.884693618039054
6,251,-4.761944544834369
6,252,-4.843554204798966
6,253,-5.1175166267976735
6,254,-4.862019070026616
